id;player_one_name;player_one_score;player_two_name;player_two_score;predication
1;Books salmon;26620;Intelligent;51091;Interface Stand-alone Viaduct
2;PCI Functionality Liaison;21461;Tuna Vista Awesome;33432;Strategist
3;morph;58104;Principal;63110;withdrawal blue
4;architectures;84297;virtual yellow;59752;Supervisor solution
5;Ergonomic connecting motivating;82130;Berkshire Plastic;81164;Rupiah Plastic Solutions
6;e-business Bedfordshire transmit;94104;hack;20114;white withdrawal PCI
7;tan;96807;transmitter mission-critical SAS;16306;Metrics
8;Intranet Group intranet;69385;redundant;34705;Avon
9;Tuna Architect;88605;e-markets Taiwan indexing;18691;Shoes
10;violet firewall;87597;Assurance;71861;withdrawal deposit
